Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
CSA,Central and South America,VEN,Venezuela (Bolivarian Republic of),2013,All,Age75_79,[75-79],11,0.08429119,3.55881097
CSA,Central and South America,VEN,Venezuela (Bolivarian Republic of),2013,All,Age80_84,[80-84],12,0.08917955,6.54118494
AS,Asia,ARM,Armenia,2018,Female,Age70_74,[70-74],0,0,0
AS,Asia,ARM,Armenia,2018,Female,Age75_79,[75-79],1,0.04977601,2.25596138
CSA,Central and South America,VEN,Venezuela (Bolivarian Republic of),2013,All,Age85_over,[85+],4,0.01973457,2.68712464
AS,Asia,ARE,United Arab Emirates,2019,Female,Age65_69,[65-69],0,0,0
AS,Asia,ARE,United Arab Emirates,2019,Female,Age70_74,[70-74],1,0.40160643,9.07441016
AS,Asia,ARE,United Arab Emirates,2018,All,Age60_64,[60-64],1,0.15060241,0.74143824
AS,Asia,ARM,Armenia,2017,Male,Age80_84,[80-84],1,0.04734848,5.08259212
AS,Asia,ARM,Armenia,2017,Male,Age85_over,[85+],2,0.10040161,19.3723363
AS,Asia,ARM,Armenia,2017,Female,Age70_74,[70-74],0,0,0
AS,Asia,ARM,Armenia,2017,Female,Age75_79,[75-79],0,0,0
AS,Asia,ARM,Armenia,2017,Female,Age80_84,[80-84],0,0,0
AS,Asia,ARM,Armenia,2017,Female,Age85_over,[85+],0,0,0
AS,Asia,ARM,Armenia,2016,All,Age70_74,[70-74],1,0.05181347,1.77673543
AS,Asia,ARM,Armenia,2016,All,Age75_79,[75-79],6,0.11860051,6.9128406
AS,Asia,ARM,Armenia,2016,All,Age80_84,[80-84],3,0.06132461,5.98874117
AS,Asia,ARM,Armenia,2016,All,Age85_over,[85+],5,0.08460237,18.19438885
AS,Asia,ARM,Armenia,2016,Female,Age80_84,[80-84],0,0,0
AS,Asia,ARM,Armenia,2016,Female,Age85_over,[85+],2,0.05117707,11.26062722
AS,Asia,ARE,United Arab Emirates,2018,All,Age65_69,[65-69],2,0.32626427,4.39579762
AS,Asia,ARM,Armenia,2019,Female,Age85_over,[85+],0,0,0
AS,Asia,ARM,Armenia,2018,All,Age80_84,[80-84],11,0.23574796,19.80340619
AS,Asia,ARM,Armenia,2018,Male,Age60_64,[60-64],4,0.27173913,5.18174988
AS,Asia,ARM,Armenia,2018,Male,Age85_over,[85+],2,0.10454783,17.97429676
AS,Asia,ARM,Armenia,2018,Female,Age80_84,[80-84],3,0.10944911,8.50364239
AS,Asia,ARM,Armenia,2017,Male,Age65_69,[65-69],2,0.12578616,4.03071404
AS,Asia,ARM,Armenia,2017,Male,Age75_79,[75-79],5,0.23020258,16.08441099
AS,Asia,ARM,Armenia,2017,Female,Age60_64,[60-64],0,0,0
AS,Asia,ARM,Armenia,2016,All,Age60_64,[60-64],3,0.12396694,1.85784972
AS,Asia,ARM,Armenia,2015,All,Age65_69,[65-69],9,0.38510911,8.85948851
AS,Asia,ARM,Armenia,2016,Female,Age75_79,[75-79],0,0,0
AS,Asia,ARM,Armenia,2015,All,Age75_79,[75-79],10,0.19087612,11.34829038
AS,Asia,ARM,Armenia,2015,Male,Age85_over,[85+],3,0.16384489,33.60591464
AS,Asia,ARM,Armenia,2015,Female,Age70_74,[70-74],1,0.10319917,2.71318881
AS,Asia,ARM,Armenia,2015,Female,Age80_84,[80-84],1,0.03725782,3.41460083
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Male,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Female,Age85_over,[85+],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,Male,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,Male,Age70_74,[70-74],0,0,0
AS,Asia,ARM,Armenia,2016,Male,Age70_74,[70-74],1,0.09718173,4.39889148
AS,Asia,ARM,Armenia,2016,Male,Age80_84,[80-84],3,0.14231499,15.69365976
AS,Asia,ARM,Armenia,2016,Female,Age65_69,[65-69],1,0.10362694,1.54456852
AS,Asia,ARM,Armenia,2016,All,Age65_69,[65-69],7,0.27988804,6.28834769
AS,Asia,ARM,Armenia,2018,All,Age75_79,[75-79],2,0.0533049,2.78726221
AS,Asia,ARM,Armenia,2016,Male,Age75_79,[75-79],6,0.24671053,18.11594203
AS,Asia,ARM,Armenia,2016,Male,Age85_over,[85+],3,0.14985015,30.86419753
AS,Asia,ARM,Armenia,2016,Female,Age60_64,[60-64],0,0,0
AS,Asia,ARM,Armenia,2016,Female,Age70_74,[70-74],0,0,0
AS,Asia,ARM,Armenia,2017,Female,Age65_69,[65-69],1,0.09930487,1.44982167
AS,Asia,ARM,Armenia,2015,Female,Age75_79,[75-79],3,0.11198208,5.52801784
AS,Asia,ARM,Armenia,2015,Female,Age85_over,[85+],1,0.02680965,5.81429153
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,Male,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Male,Age60_64,[60-64],0,0,0
AS,Asia,ARM,Armenia,2015,All,Age60_64,[60-64],2,0.08996851,1.29470788
AS,Asia,ARM,Armenia,2015,All,Age70_74,[70-74],3,0.13895322,4.83597969
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,Male,Age65_69,[65-69],0,0,0
AS,Asia,ARM,Armenia,2015,Male,Age80_84,[80-84],2,0.1010101,10.76542147
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Female,Age80_84,[80-84],0,0,0
AS,Asia,ARM,Armenia,2015,All,Age80_84,[80-84],3,0.06432247,6.26775865
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,All,Age85_over,[85+],0,0,0
AS,Asia,ARE,United Arab Emirates,2018,Female,Age75_79,[75-79],0,0,0
AS,Asia,ARE,United Arab Emirates,2018,Female,Age85_over,[85+],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,All,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,All,Age80_84,[80-84],0,0,0
CSA,Central and South America,ARG,Argentina,2019,All,Age70_74,[70-74],112,0.2900202,8.60634795
CSA,Central and South America,ARG,Argentina,2019,All,Age75_79,[75-79],99,0.23297407,10.6115694
CSA,Central and South America,ARG,Argentina,2019,All,Age80_84,[80-84],71,0.1539696,11.42274284
CSA,Central and South America,ARG,Argentina,2019,All,Age85_over,[85+],42,0.04588309,7.50770881
AS,Asia,ARE,United Arab Emirates,2019,Male,Age60_64,[60-64],2,0.43668122,1.61792663
AS,Asia,ARE,United Arab Emirates,2019,Male,Age65_69,[65-69],0,0,0
AS,Asia,ARE,United Arab Emirates,2019,Male,Age70_74,[70-74],0,0,0
AS,Asia,ARE,United Arab Emirates,2019,Male,Age75_79,[75-79],0,0,0
CSA,Central and South America,ARG,Argentina,2019,Male,Age60_64,[60-64],132,0.90696716,15.2475474
CSA,Central and South America,ARG,Argentina,2019,Male,Age65_69,[65-69],106,0.54026504,14.43824992
AS,Asia,ARE,United Arab Emirates,2018,Female,Age60_64,[60-64],0,0,0
AS,Asia,ARE,United Arab Emirates,2018,Female,Age65_69,[65-69],0,0,0
AS,Asia,ARE,United Arab Emirates,2018,Female,Age70_74,[70-74],0,0,0
AS,Asia,ARM,Armenia,2018,Female,Age60_64,[60-64],0,0,0
AS,Asia,ARM,Armenia,2018,Female,Age65_69,[65-69],1,0.09487666,1.37591326
AS,Asia,ARM,Armenia,2015,All,Age85_over,[85+],4,0.07192951,15.31041874
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,All,Age85_over,[85+],0,0,0
CSA,Central and South America,ARG,Argentina,2017,Male,Age85_over,[85+],53,0.16509875,33.5753291
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,All,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,All,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,All,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,All,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,All,Age75_79,[75-79],0,0,0
AS,Asia,ARE,United Arab Emirates,2018,Female,Age80_84,[80-84],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,All,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,All,Age80_84,[80-84],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,Female,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,Female,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,Male,Age80_84,[80-84],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,Female,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,Female,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,Female,Age85_over,[85+],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,All,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,All,Age80_84,[80-84],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Male,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Male,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Female,Age60_64,[60-64],1,5.55555556,51.89413596
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Female,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2016,Male,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,All,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,All,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,All,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,All,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,Male,Age85_over,[85+],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,Female,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2019,Female,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,Female,Age80_84,[80-84],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,Female,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,All,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2018,Female,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,All,Age60_64,[60-64],1,2.27272727,27.41979709
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,All,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Female,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Male,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2016,Male,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Male,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Male,Age80_84,[80-84],0,0,0
OA,Oceania,AUS,Australia,2019,Male,Age60_64,[60-64],164,3.01193756,24.20671353
OA,Oceania,AUS,Australia,2019,Male,Age70_74,[70-74],94,0.99660729,18.13306584
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,All,Age75_79,[75-79],0,0,0
OA,Oceania,AUS,Australia,2020,Male,Age60_64,[60-64],164,3.25849394,23.504592
OA,Oceania,AUS,Australia,2020,Male,Age85_over,[85+],74,0.27413499,36.97245552
OA,Oceania,AUS,Australia,2020,All,Age80_84,[80-84],71,0.30325033,13.49445587
OA,Oceania,AUS,Australia,2019,Male,Age65_69,[65-69],108,1.55485171,18.09321019
OA,Oceania,AUS,Australia,2019,Female,Age85_over,[85+],26,0.06507809,8.29774876
OA,Oceania,AUS,Australia,2019,All,Age60_64,[60-64],217,2.48596632,15.57078032
OA,Oceania,AUS,Australia,2021,Female,Age75_79,[75-79],18,0.21884498,4.29232651
OA,Oceania,AUS,Australia,2018,Male,Age70_74,[70-74],86,0.95428318,17.24449079
OA,Oceania,AUS,Australia,2019,All,Age70_74,[70-74],119,0.75483666,11.21673273
OA,Oceania,AUS,Australia,2018,Male,Age80_84,[80-84],52,0.4217356,23.84303944
OA,Oceania,AUS,Australia,2021,All,Age70_74,[70-74],135,0.82888193,11.77216415
OA,Oceania,AUS,Australia,2021,All,Age80_84,[80-84],95,0.37567226,17.41815302
OA,Oceania,AUS,Australia,2021,Male,Age80_84,[80-84],78,0.56534029,31.20474312
OA,Oceania,AUS,Australia,2019,Female,Age60_64,[60-64],53,1.61388551,7.40080822
OA,Oceania,AUS,Australia,2021,Female,Age65_69,[65-69],29,0.65551537,4.37665823
OA,Oceania,AUS,Australia,2018,All,Age65_69,[65-69],135,1.25197069,11.15861098
OA,Oceania,AUS,Australia,2018,Female,Age65_69,[65-69],39,0.93637455,6.29362166
OA,Oceania,AUS,Australia,2017,All,Age70_74,[70-74],124,0.85287846,12.9505269
OA,Oceania,AUS,Australia,2017,All,Age80_84,[80-84],66,0.28653295,14.08769376
OA,Oceania,AUS,Australia,2017,Male,Age75_79,[75-79],53,0.50761421,16.49004686
OA,Oceania,AUS,Australia,2017,Male,Age85_over,[85+],63,0.23599041,34.22666746
OA,Oceania,AUS,Australia,2015,Male,Age70_74,[70-74],79,0.9683746,18.97797594
OA,Oceania,AUS,Australia,2020,All,Age85_over,[85+],94,0.14581556,18.12418538
OA,Oceania,AUS,Australia,2021,All,Age65_69,[65-69],146,1.29951046,11.40497585
OA,Oceania,AUS,Australia,2021,All,Age75_79,[75-79],86,0.43559743,10.65417898
OA,Oceania,AUS,Australia,2019,All,Age65_69,[65-69],138,1.22242891,11.21425153
OA,Oceania,AUS,Australia,2021,Male,Age75_79,[75-79],68,0.59038027,17.53291289
OA,Oceania,AUS,Australia,2019,All,Age75_79,[75-79],96,0.50659631,13.16980822
OA,Oceania,AUS,Australia,2021,Male,Age85_over,[85+],76,0.25903204,36.3955042
OA,Oceania,AUS,Australia,2021,Female,Age70_74,[70-74],29,0.44274809,4.89797849
OA,Oceania,AUS,Australia,2021,Female,Age80_84,[80-84],17,0.14794187,5.75401258
OA,Oceania,AUS,Australia,2018,All,Age60_64,[60-64],208,2.57298367,15.30040656
OA,Oceania,AUS,Australia,2018,Male,Age65_69,[65-69],96,1.4505893,16.26696806
OA,Oceania,AUS,Australia,2018,Male,Age75_79,[75-79],61,0.59436812,18.32910662
OA,Oceania,AUS,Australia,2018,Female,Age60_64,[60-64],49,1.56900416,7.01762426
OA,Oceania,AUS,Australia,2017,All,Age85_over,[85+],80,0.12161566,16.30719494
OA,Oceania,AUS,Australia,2017,Male,Age80_84,[80-84],47,0.38075178,22.41361222
OA,Oceania,AUS,Australia,2018,Female,Age70_74,[70-74],25,0.42896362,4.82203787
OA,Oceania,AUS,Australia,2017,All,Age75_79,[75-79],77,0.42727929,11.39093696
OA,Oceania,AUS,Australia,2016,Male,Age60_64,[60-64],137,2.81198686,21.4872974
OA,Oceania,AUS,Australia,2016,Male,Age85_over,[85+],65,0.25054928,36.26463138
EU,Europe,AUT,Austria,2021,All,Age60_64,[60-64],102,2.09919737,17.09702562
EU,Europe,AUT,Austria,2021,All,Age70_74,[70-74],88,0.99435028,21.08173244
EU,Europe,AUT,Austria,2021,Male,Age70_74,[70-74],70,1.31282821,36.47885269
EU,Europe,AUT,Austria,2021,Male,Age80_84,[80-84],95,1.15026032,78.61114789
CSA,Central and South America,ARG,Argentina,2018,Female,Age65_69,[65-69],15,0.1259023,1.72249265
CSA,Central and South America,GTM,Guatemala,2014,Female,Age80_84,[80-84],0,0,0
CSA,Central and South America,GTM,Guatemala,2014,Female,Age85_over,[85+],0,0,0
AS,Asia,ARE,United Arab Emirates,2020,Male,Age60_64,[60-64],4,0.53333333,2.78377062
AS,Asia,ARE,United Arab Emirates,2020,Male,Age65_69,[65-69],0,0,0
AS,Asia,ARE,United Arab Emirates,2019,All,Age85_over,[85+],0,0,0
CSA,Central and South America,ARG,Argentina,2019,Female,Age85_over,[85+],2,0.00332629,0.50450269
CSA,Central and South America,ARG,Argentina,2019,Unknown,Age60_64,[60-64],0,0,
CSA,Central and South America,ARG,Argentina,2019,Unknown,Age65_69,[65-69],1,0.89285714,
