Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
AS,Asia,ARM,Armenia,2019,All,Age75_79,[75-79],4,0.13020833,6.58956871
AS,Asia,ARM,Armenia,2018,All,Age60_64,[60-64],4,0.17644464,2.25490583
AS,Asia,ARM,Armenia,2018,All,Age65_69,[65-69],6,0.23455825,4.79696832
AS,Asia,ARM,Armenia,2018,All,Age70_74,[70-74],1,0.04823927,1.50339768
AS,Asia,ARM,Armenia,2016,Male,Age60_64,[60-64],3,0.1875,4.24754704
AS,Asia,ARM,Armenia,2016,Male,Age65_69,[65-69],6,0.390625,12.88272427
AS,Asia,ARM,Armenia,2015,Male,Age60_64,[60-64],1,0.0685401,1.47050174
AS,Asia,ARM,Armenia,2015,Male,Age65_69,[65-69],8,0.57761733,18.85813965
AS,Asia,ARM,Armenia,2015,Male,Age70_74,[70-74],2,0.16806723,7.94344269
AS,Asia,ARM,Armenia,2015,Male,Age75_79,[75-79],7,0.2734375,20.67946824
AS,Asia,ARM,Armenia,2015,Female,Age60_64,[60-64],1,0.13089005,1.15645708
AS,Asia,ARM,Armenia,2015,Female,Age65_69,[65-69],1,0.10504202,1.69021702
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Male,Age70_74,[70-74],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Male,Age75_79,[75-79],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Male,Age80_84,[80-84],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Male,Age85_over,[85+],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Female,Age60_64,[60-64],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Female,Age65_69,[65-69],0,0,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,Female,Age70_74,[70-74],0,0,0
CSA,Central and South America,ARG,Argentina,2016,Unknown,Age75_79,[75-79],0,0,
CSA,Central and South America,ARG,Argentina,2016,Unknown,Age80_84,[80-84],0,0,
CSA,Central and South America,ARG,Argentina,2015,Male,Age70_74,[70-74],80,0.39119804,16.05036605
